Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2/1/2017,,,,,
,,,,,,
Country Name,Country Code,Bird_Threat,Green_House,LandP_A,LandP_F,LandP_P
Aruba,ABW,1,,11.11111111,2.333333333,0.48
Andorra,AND,2,,44.46808511,34.04255319,19.5
Afghanistan,AFG,17,,58.06757957,2.067824648,0.46
Angola,AGO,26,41657.16485,47.47734018,46.40731531,4.98
Albania,ALB,10,8898.640911,42.85729927,28.15693431,1.91
Arab World,ARB,297,1908696.042,35.2040027,2.802679869,8.108930619
United Arab Emirates,ARE,12,204888.719,4.572966507,3.858851675,16.09
Argentina,ARG,50,380295.3204,54.33571212,9.906858285,5.37
Armenia,ARM,15,12319.38961,59.04776958,11.66139796,24.75
American Samoa,ASM,8,58.76551929,24.5,87.7,8.62
Antigua and Barbuda,ATG,1,552.7479143,20.45454545,22.27272727,0.15
Australia,AUS,50,761686.2739,52.88377179,16.23875662,29.03
Austria,AUT,12,90460.21029,32.89022454,46.88389903,28.35
Azerbaijan,AZE,18,56537.08178,57.70054317,13.78367589,13.97
Burundi,BDI,13,6254.371024,79.16666667,10.74766355,6.89
Belgium,BEL,8,133373.684,43.9663144,22.56935271,24.25
Benin,BEN,10,33533.09673,33.25647393,38.23164243,22.25
Burkina Faso,BFA,11,43910.40239,44.2251462,19.55409357,15.47
Bangladesh,BGD,33,183300.5624,69.90089882,10.97795191,3.41
Bulgaria,BGR,18,67942.69563,45.84561533,35.21554901,31.46
Bahrain,BHR,6,32849.10573,11.15434501,0.778210117,4.41
"Bahamas, The",BHS,7,4865.206767,1.398601399,51.44855145,0.51
Bosnia and Herzegovina,BIH,8,27108.4002,42.2265625,42.67578125,1.28
Belarus,BLR,9,109647.2388,42.54102804,42.54842048,8.57
Belize,BLZ,5,1569.858503,7.014467339,59.89916703,18.55
Bermuda,BMU,1,632.8769921,6,20,5.07
Bolivia,BOL,55,621726.7268,34.80522478,50.55294009,24.83
Brazil,BRA,165,2989417.957,33.81003429,59.04878358,20.37
Barbados,BRB,2,1540.615709,32.55813953,14.65116279,0
Brunei Darussalam,BRN,24,14828.96701,2.732447818,72.10626186,29.68
Bhutan,BTN,20,3296.963725,13.78912296,72.27562505,47.3
Botswana,BWA,13,82110.27676,45.87899,19.12727401,29.15
Central African Republic,CAF,14,515134.0786,8.154354875,35.58701724,18.09
Canada,CAN,15,1027063.855,7.176106916,38.16667052,6.24
Central Europe and the Baltics,CEB,130,970733.6226,47.68227751,34.17918505,25.57501642
Switzerland,CHE,6,54108.09751,38.53375848,31.73398117,9.93
Channel Islands,CHI,,,50.10526316,4.210526316,
Chile,CHL,33,120687.8924,21.19774267,23.8523695,6.85
China,CHN,89,12454710.61,54.80841877,22.18966958,15.61
Cote d'Ivoire,CIV,20,33502.16024,64.77987421,32.70754717,14.93
Cameroon,CMR,26,100922.1362,20.62575363,39.80453132,10.65
"Congo, Rep.",COG,5,35743.91852,31.11859444,65.39970717,31.81
Colombia,COL,119,173411.7679,40.4807571,52.72802163,17.37
Comoros,COM,10,564.2206617,71.46695325,19.88178399,2.38
Cabo Verde,CPV,5,,20.84367246,22.30769231,0.01
Costa Rica,CRI,23,12274.13409,35.47003525,53.97571485,3.05
Caribbean small states,CSS,66,95976.84453,6.231443745,85.07768309,6.905532771
Cuba,CUB,17,52418.45565,60.36252644,30.76331475,5.03
Curacao,CUW,1,,,,
Cayman Islands,CYM,1,,11.25,52.91666667,1.54
Cyprus,CYP,7,7431.193453,11.6991342,18.69047619,2.03
Czech Republic,CZE,10,138957.4247,54.60432586,34.54215775,21.11
Germany,DEU,11,951716.7111,47.93637145,32.72857552,38.46
Djibouti,DJI,11,2766.303815,73.4253667,0.241587575,1.05
Dominica,DMA,4,222.8355778,33.33333333,57.77333333,0.55
Denmark,DNK,7,53703.22393,62.20718376,14.48582651,17.95
Dominican Republic,DOM,14,33395.08443,48.68557235,41.04740219,11.2
Algeria,DZA,14,176471.2268,17.39525834,0.821247986,7.46
East Asia & Pacific (excluding high income),EAP,739,15379925.31,47.96350571,29.77242469,12.86400336
Early-demographic dividend,EAR,1640,9734849.878,41.4867592,21.92542071,10.71527804
East Asia & Pacific,EAS,1097,18822910.63,48.71497466,26.33562637,17.95120928
Europe & Central Asia (excluding high income),ECA,353,4762188.509,28.20278058,38.89798051,7.785907914
Europe & Central Asia,ECS,638,9398206.524,29.49774468,38.03923941,9.618939821
Ecuador,ECU,98,52746.57269,22.55475922,50.52295056,15.43
"Egypt, Arab Rep.",EGY,14,295499.7454,3.762117635,0.073333668,9.58
Euro area,EMU,185,3160160.765,44.17677894,38.26292547,19.3250119
Eritrea,ERI,18,4977.888033,75.16831683,14.95049505,3.06
Spain,ESP,15,348257.2922,53.13368385,36.82027548,10.18
Estonia,EST,8,23292.77921,22.98419439,52.65392781,19.85
